Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.5488497169140482770368402551,0.548849716914048,0.548849716914048,0.548849716914048,0.548849716914048,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,537375.2
0.02,0,0.6269772117434253674483492308,0.626977211743425,0.626977211743425,0.626977211743425,0.626977211743425,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,1074750
0.03,0,0.6447310730435758193105390615,0.644731073043576,0.644731073043576,0.644731073043576,0.644731073043576,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,1612126
0.04,0,0.6496974727157204212170360560,0.64969747271572,0.64969747271572,0.64969747271572,0.64969747271572,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,2149501
0.05,0,0.6505042541427524837781099952,0.650504254142752,0.650504254142752,0.650504254142752,0.650504254142752,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,2686876
0.06,0,0.6496858037714172348311635515,0.649685803771417,0.649685803771417,0.649685803771417,0.649685803771417,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,3224252
0.07,0,0.6481883537944543194784144868,0.648188353794454,0.648188353794454,0.648188353794454,0.648188353794454,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,3761627
0.08,0,0.6464184136330272612960474342,0.646418413633027,0.646418413633027,0.646418413633027,0.646418413633027,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,4299002
0.09,0,0.6445660427205646385515788660,0.644566042720565,0.644566042720565,0.644566042720565,0.644566042720565,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,4836378
0.10,0,0.6427249097250527875643671123,0.642724909725053,0.642724909725053,0.642724909725053,0.642724909725053,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,5373753
0.11,0,0.6409416532056295006896835762,0.64094165320563,0.64094165320563,0.64094165320563,0.64094165320563,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,5911128
0.12,0,0.6392392780781621323692759483,0.639239278078162,0.639239278078162,0.639239278078162,0.639239278078162,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,6448503
0.13,0,0.6376282681184668468728197679,0.637628268118467,0.637628268118467,0.637628268118467,0.637628268118467,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,6985878
0.14,0,0.6361119765366751042102103035,0.636111976536675,0.636111976536675,0.636111976536675,0.636111976536675,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,7523254
0.15,0,0.6346904511184929241738189199,0.634690451118493,0.634690451118493,0.634690451118493,0.634690451118493,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,8060630
0.16,0,0.6333614560220149693488216582,0.633361456022015,0.633361456022015,0.633361456022015,0.633361456022015,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,8598004
0.17,0,0.6321220283350232692467230768,0.632122028335023,0.632122028335023,0.632122028335023,0.632122028335023,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,9135380
0.18,0,0.6309685756595742039048488099,0.630968575659574,0.630968575659574,0.630968575659574,0.630968575659574,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,9672755
0.19,0,0.6298975645784445763339089441,0.629897564578445,0.629897564578445,0.629897564578445,0.629897564578445,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,10210130
0.20,0,0.6289052048926973010571963738,0.628905204892697,0.628905204892697,0.628905204892697,0.628905204892697,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,10747510
0.21,0,0.6279884076947349824876123805,0.627988407694735,0.627988407694735,0.627988407694735,0.627988407694735,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,11284880
0.22,0,0.6271438030681661991946995699,0.627143803068166,0.627143803068166,0.627143803068166,0.627143803068166,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,11822260
0.23,0,0.6263686405727411707556053744,0.626368640572741,0.626368640572741,0.626368640572741,0.626368640572741,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,12359630
0.24,0,0.6256602101135617307552840664,0.625660210113562,0.625660210113562,0.625660210113562,0.625660210113562,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,12897010
0.25,0,0.6250161136993241362857839761,0.625016113699324,0.625016113699324,0.625016113699324,0.625016113699324,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,13434380
0.26,0,0.6246462948139656250600971961,0.624646294813966,0.624646294813966,0.624646294813966,0.624646294813966,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,13971760
0.27,0,0.6243367765122384777384660783,0.624336776512238,0.624336776512238,0.624336776512238,0.624336776512238,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,14509130
0.28,0,0.6240858489037888598934573557,0.624085848903789,0.624085848903789,0.624085848903789,0.624085848903789,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,15046510
0.29,0,0.6238921019459530870241435497,0.623892101945953,0.623892101945953,0.623892101945953,0.623892101945953,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,15583880
0.30,0,0.6237540942823472434304871114,0.623754094282347,0.623754094282347,0.623754094282347,0.623754094282347,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,16121260
0.31,0,0.6236709168160738662305223947,0.623670916816074,0.623670916816074,0.623670916816074,0.623670916816074,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,16658630
0.32,0,0.6242658492475892634092208500,0.624265849247589,0.624265849247589,0.624265849247589,0.624265849247589,0,0,0,0,9.699405032992138,69.026305282387064943598286587,69.026305282387064943598286587,17196010
