0.5899997, 0, 0, 5, 3.537539E-06, 0, 4315.413, -506.6908, -5.557111, 0.000483026, 0.02479935, 84.02119, 0.3020116, 0.2695396, 0.0002297806
 
0.5999997, -1, 0, 5, 3.262339E-06, 0.344521124517231059850, 4201.139, -507.0964, -5.557111, 0.000483026, 0.02479935, 82.90414, 0.3020116, 0.2694072, 0.0002300385
 
0.6099997, 1, -0.01, 5, 2.986507E-06, 0.2946565200165930518254088377, 4090.734, -507.5036, -5.557111, 0.000483026, 0.02479935, 81.81033, 0.3020116, 0.2692747, 0.0002302965
 
0.6199997, -1, 0, 5, 2.71005E-06, 0.2532080687304522413554088377, 3983.915, -507.9125, -5.557111, 0.000483026, 0.02479935, 80.73784, 0.3020116, 0.2691423, 0.0002305545
 
0.6299997, 1, -0.01, 5, 2.430385E-06, 0.218675144423314165626, 3880.451, -508.3231, -5.557111, 0.000483026, 0.02479935, 79.68519, 0.3020116, 0.2690098, 0.0002308125
 
0.6399997, -1, 0, 5, 2.150088E-06, 0.189840143221712821638, 3780.14, -508.7353, -5.557111, 0.000483026, 0.02479935, 78.65108, 0.3020116, 0.2688774, 0.0002310704
 
0.6499997, 1, -0.01, 5, 1.869161E-06, 0.165711763386244337202, 3682.803, -509.1492, -5.557111, 0.000483026, 0.02479935, 77.63437, 0.3020116, 0.2687449, 0.0002313284
 
0.6599997, -1, 0, 5, 1.585005E-06, 0.145481886362744545428, 3588.282, -509.5646, -5.557111, 0.000483026, 0.02479935, 76.63408, 0.3020116, 0.2686124, 0.0002315864
 
0.6699997, 1, -0.01, 5, 1.300213E-06, 0.128488824389674908234, 3496.432, -509.9818, -5.557111, 0.000483026, 0.02479935, 75.64929, 0.3020116, 0.26848, 0.0002318443
 
0.6799996, -1, 0, 5, 1.013918E-06, 0.1141900455925791062370, 3407.126, -510.4006, -5.557111, 0.000483026, 0.02479935, 74.67924, 0.3020116, 0.2683475, 0.0002321023
 
