Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.4625795169046282336928152912,0.462579516904628,0.462579516904628,0.462579516904628,0.462579516904628,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,178681.9
0.02,0,0.4615551674797487807424507056,0.461555167479749,0.461555167479749,0.461555167479749,0.461555167479749,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,357363.8
0.03,0,0.4615492956557840134542194253,0.461549295655784,0.461549295655784,0.461549295655784,0.461549295655784,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,536045.7
0.04,0,0.4615492956557840134542194253,0.461549295655784,0.461549295655784,0.461549295655784,0.461549295655784,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,714727.6
0.05,0,0.4615492956557840134542194253,0.461549295655784,0.461549295655784,0.461549295655784,0.461549295655784,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,893409.5
0.06,0,0.4615492956557840134542194253,0.461549295655784,0.461549295655784,0.461549295655784,0.461549295655784,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,1072091
0.07,0,0.4615492956557840134542194253,0.461549295655784,0.461549295655784,0.461549295655784,0.461549295655784,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,1250773
0.08,0,0.4615492956557840134542194253,0.461549295655784,0.461549295655784,0.461549295655784,0.461549295655784,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,1429455
0.09,0,0.4615492956557840134542194253,0.461549295655784,0.461549295655784,0.461549295655784,0.461549295655784,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,1608137
0.10,0,0.4615492956557840134542194253,0.461549295655784,0.461549295655784,0.461549295655784,0.461549295655784,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,1786819
0.11,0,0.4615492956557840134542194253,0.461549295655784,0.461549295655784,0.461549295655784,0.461549295655784,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,1965501
0.12,0,0.4615492956557840134542194253,0.461549295655784,0.461549295655784,0.461549295655784,0.461549295655784,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,2144183
0.13,0,0.4615492956557840134542194253,0.461549295655784,0.461549295655784,0.461549295655784,0.461549295655784,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,2322864
0.14,0,0.4615492956557840134542194253,0.461549295655784,0.461549295655784,0.461549295655784,0.461549295655784,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,2501546
0.15,0,0.4615492956557840134542194253,0.461549295655784,0.461549295655784,0.461549295655784,0.461549295655784,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,2680228
0.16,0,0.4615492956557840134542194253,0.461549295655784,0.461549295655784,0.461549295655784,0.461549295655784,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,2858910
0.17,0,0.4615492956557840134542194253,0.461549295655784,0.461549295655784,0.461549295655784,0.461549295655784,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,3037592
0.18,0,0.4615492956557840134542194253,0.461549295655784,0.461549295655784,0.461549295655784,0.461549295655784,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,3216274
0.19,0,0.4615492956557840134542194253,0.461549295655784,0.461549295655784,0.461549295655784,0.461549295655784,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,3394956
0.20,0,0.4615492956557840134542194253,0.461549295655784,0.461549295655784,0.461549295655784,0.461549295655784,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,3573638
0.21,0,0.4615492956557840134542194253,0.461549295655784,0.461549295655784,0.461549295655784,0.461549295655784,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,3752320
0.22,0,0.4615492956557840134542194253,0.461549295655784,0.461549295655784,0.461549295655784,0.461549295655784,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,3931002
0.23,0,0.4615492956557840134542194253,0.461549295655784,0.461549295655784,0.461549295655784,0.461549295655784,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,4109684
0.24,0,0.4615492956557840134542194253,0.461549295655784,0.461549295655784,0.461549295655784,0.461549295655784,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,4288366
0.25,0,0.4615492956557840134542194253,0.461549295655784,0.461549295655784,0.461549295655784,0.461549295655784,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,4467048
0.26,0,0.4617485303217048002003353797,0.461748530321705,0.461748530321705,0.461748530321705,0.461748530321705,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,4645729
0.27,0,0.4619477809801336878283542170,0.461947780980134,0.461947780980134,0.461947780980134,0.461947780980134,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,4824412
0.28,0,0.4621470316385625754563730544,0.462147031638563,0.462147031638563,0.462147031638563,0.462147031638563,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,5003093
0.29,0,0.4623462663044833622024890087,0.462346266304483,0.462346266304483,0.462346266304483,0.462346266304483,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,5181774
0.30,0,0.4625455169629122498305078461,0.462545516962912,0.462545516962912,0.462545516962912,0.462545516962912,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,5360457
0.31,0,0.4627447516288330365766238005,0.462744751628833,0.462744751628833,0.462744751628833,0.462744751628833,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,5539138
0.32,0,0.4629440022872619242046426378,0.462944002287262,0.462944002287262,0.462944002287262,0.462944002287262,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,5717820
0.33,0,0.4631432529456908118326614751,0.463143252945691,0.463143252945691,0.463143252945691,0.463143252945691,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,5896502
0.34,0,0.4633424876116115985787774295,0.463342487611612,0.463342487611612,0.463342487611612,0.463342487611612,0,0,0,0,9.316525626107957,22.728261550741258411411531689,22.728261550741258411411531689,6075184
