===========================================
timestamp_ms,temp_c,pressure_pa,alt_m
59014,11.7275,100031.8,108.2302
59054,11.7275,100026.5,108.6714
59098,11.7224,100033.5,108.0822
59189,11.7275,100029.2,108.4521
59286,11.73259,100040.5,107.493
59435,11.73259,100043.2,107.271
60022,11.70202,100037.9,107.7123
60115,11.71221,100031.8,108.2275
===========================================
timestamp_ms,temp_c,pressure_pa,alt_m
1017,11.68674,100019.5,109.2607
1114,11.69183,100015.1,109.6306
1367,11.69693,100016.0,109.554
2559,11.69693,100021.3,109.1127
2696,11.70712,100028.3,108.5235
2840,11.70712,100017.8,109.406
3570,11.69693,100021.3,109.1127
3714,11.70712,100025.7,108.7428
4564,11.70712,100023.0,108.9647
4709,11.70712,100020.4,109.1867
4854,11.70202,100032.7,108.1536
5544,11.70712,100023.0,108.9647
5691,11.70712,100028.3,108.5235
6573,11.69693,100021.3,109.1127
6766,11.70712,100028.3,108.5235
7516,11.69183,100020.4,109.1867
7645,11.69693,100026.5,108.6714
7781,11.70712,100028.3,108.5235
8529,11.70202,100019.5,109.2607
8659,11.70202,100022.2,109.0387
8798,11.70202,100019.5,109.2607
9562,11.70712,100023.0,108.9647
9700,11.70712,100023.0,108.9647
9843,11.70712,100028.3,108.5235
10519,11.70202,100022.2,109.0387
10656,11.70712,100017.8,109.406
10800,11.71221,100018.7,109.3346
11569,11.70712,100020.4,109.1867
11709,11.70202,100027.4,108.5975
11856,11.70712,100025.7,108.7428
12532,11.70712,100025.7,108.7428
12679,11.71731,100016.9,109.4826
12824,11.71731,100024.8,108.8194
13582,11.71221,100031.8,108.2275
13730,11.71731,100024.8,108.8194
14580,11.71221,100023.9,108.8907
14730,11.71221,100023.9,108.8907
14880,11.71221,100016.0,109.554
15525,11.71731,100027.4,108.5975
15723,11.73259,100027.4,108.5975
15856,11.71731,100024.8,108.8194
16525,11.71731,100032.7,108.1562
16663,11.7224,100020.4,109.1867
16801,11.7224,100033.5,108.0822
17554,11.7275,100026.5,108.6714
17708,11.73259,100022.2,109.0387
18551,11.7275,100023.9,108.8934
18696,11.73259,100022.2,109.0387
18839,11.73259,100024.8,108.8194
19567,11.71221,100021.3,109.1127
19714,11.7224,100025.7,108.7454
20565,11.71731,100024.8,108.8194
20713,11.71221,100034.4,108.0082
20863,11.71731,100032.7,108.1562
21534,11.70202,100030.0,108.3755
21680,11.69693,100034.4,108.0082
21831,11.69693,100029.2,108.4495
22546,11.67145,100016.9,109.4826
22699,11.68674,100032.7,108.1536
22852,11.69183,100025.7,108.7454
23523,11.68674,100027.4,108.5975
23684,11.68674,100022.2,109.0387
23839,11.70202,100027.4,108.5975
24520,11.68164,100034.4,108.0082
24723,11.68164,100029.2,108.4495
24866,11.68674,100030.0,108.3755
25525,11.66636,100031.8,108.2275
25667,11.67655,100025.7,108.7454
25811,11.67655,100028.3,108.5235
26531,11.68674,100027.4,108.5975
26674,11.68674,100024.8,108.8194
26819,11.69693,100023.9,108.8907
27566,11.68674,100024.8,108.8194
27713,11.69693,100031.8,108.2275
28563,11.69693,100031.8,108.2275
28715,11.69693,100037.1,107.7863
28865,11.69693,100031.8,108.2275
29548,11.68164,100021.3,109.1127
29700,11.69693,100031.8,108.2275
29854,11.70202,100032.7,108.1536
30553,11.69693,100031.8,108.2275
30705,11.69693,100026.5,108.6714
30861,11.69693,100029.2,108.4495
31533,11.70202,100027.4,108.5975
31692,11.70712,100033.6,108.0796
31856,11.71221,100037.1,107.7863
32540,11.70202,100030.0,108.3755
32710,11.71731,100037.9,107.7149
32874,11.71221,100031.8,108.2275
33540,11.70712,100033.6,108.0796
33683,11.70712,100033.6,108.0796
33833,11.71221,100034.4,108.0082
34540,11.70712,100036.2,107.8603
34702,11.71731,100035.3,107.9342
34853,11.7224,100030.9,108.3015
35544,11.71731,100035.3,107.9342
35695,11.7224,100036.2,107.8603
35846,11.71221,100031.8,108.2275
36549,11.71731,100040.5,107.493
36705,11.71731,100035.3,107.9342
36858,11.7224,100030.9,108.3015
37548,11.71731,100032.7,108.1562
37704,11.71731,100040.5,107.493
37861,11.7275,100026.5,108.6714
38552,11.71731,100030.0,108.3782
38715,11.71731,100024.8,108.8194
38870,11.7275,100037.0,107.7863
39602,11.71731,100032.7,108.1562
39766,11.7275,100039.7,107.567
40575,11.7224,100033.5,108.0822
40741,11.73259,100040.5,107.493
41529,11.7275,100034.4,108.0082
41695,11.7275,100034.4,108.0082
42617,11.73259,100022.2,109.0387
42745,11.73769,100036.2,107.8603
42872,11.73769,100036.2,107.8603
43608,11.73259,100037.9,107.7123
43739,11.73769,100028.3,108.5235
43867,11.73769,100007.3,110.2938
44535,11.73259,100037.9,107.7123
44665,11.73259,100032.7,108.1562
44796,11.74278,100023.9,108.8934
45570,11.73769,100028.3,108.5235
45705,11.74788,100030.0,108.3782
45843,11.74788,100024.8,108.8194
46522,11.74788,100030.0,108.3782
46658,11.75297,99994.13,111.3983
46797,11.75807,100031.8,108.2302
47508,11.74788,100030.0,108.3782
47648,11.75807,100026.5,108.6714
47790,11.75807,100031.8,108.2302
48522,11.76316,100032.7,108.1536
48661,11.75297,100028.3,108.5235
48806,11.76826,100028.3,108.5235
49548,11.76826,100038.8,107.6383
49696,11.76316,100037.9,107.7123
49846,11.76826,100033.5,108.0822
50516,11.76826,100025.7,108.7454
50716,11.76826,100030.9,108.3015
50851,11.78354,100036.2,107.8603
51515,11.76826,100041.4,107.419
51658,11.78863,100037.0,107.7863
51795,11.78354,100033.5,108.0822
52508,11.76826,100033.5,108.0822
52647,11.77335,100029.1,108.4521
52781,11.77845,100035.3,107.9342
53555,11.78863,100034.4,108.0082
53694,11.78863,100034.4,108.0082
54569,11.78863,100031.8,108.2302
54714,11.78863,100029.2,108.4521
54864,11.79373,100032.7,108.1562
55517,11.79882,100036.2,107.8629
55661,11.80392,100037.0,107.7863
55807,11.79373,100030.0,108.3782
56523,11.80901,100032.7,108.1562
56672,11.80901,100037.9,107.7149
56821,11.80901,100037.9,107.7149
57553,11.80901,100035.3,107.9342
57704,11.80901,100035.3,107.9342
58547,11.80901,100037.9,107.7149
58698,11.80901,100032.7,108.1562
58853,11.8192,100037.0,107.7863
59527,11.81411,100036.2,107.8629
59726,11.8192,100034.4,108.0082
59866,11.82939,100036.2,107.8603
60531,11.82939,100036.2,107.8603
60672,11.82939,100036.2,107.8603
60809,11.83449,100034.4,108.0082
61579,11.82939,100036.2,107.8603
61721,11.83449,100037.0,107.7863
62568,11.82939,100041.4,107.419
62710,11.82939,100036.2,107.8603
62849,11.84977,100044.9,107.1257
63505,11.83958,100037.9,107.7149
63652,11.84977,100042.3,107.3477
63795,11.84977,100039.7,107.567
64525,11.84468,100036.2,107.8629
64677,11.84468,100036.2,107.8629
64828,11.84977,100042.3,107.3477
65553,11.84977,100044.9,107.1257
65706,11.85996,100041.4,107.419
66551,11.84468,100036.2,107.8629
66701,11.86506,100039.7,107.567
66856,11.85996,100038.8,107.641
67527,11.85996,100041.4,107.419
67683,11.85487,100032.6,108.1562
67838,11.85996,100038.8,107.641
68533,11.87015,100032.7,108.1562
68749,11.86506,100037.0,107.7889
69552,11.86506,100039.7,107.567
69693,11.87525,100041.4,107.419
69837,11.87525,100041.4,107.419
70533,11.88034,100039.6,107.567
70679,11.88544,100040.5,107.4956
70823,11.85996,100030.9,108.3042
71523,11.89053,100041.4,107.419
71669,11.88544,100040.5,107.4956
71817,11.89563,100039.6,107.5696
72525,11.89563,100037.0,107.7889
72676,11.90072,100048.4,106.8324
72822,11.90072,100048.4,106.8324
73555,11.89053,100046.7,106.9777
73707,11.90582,100041.4,107.4216
73860,11.90072,100040.5,107.4956
74519,11.90582,100044.0,107.1997
74672,11.91091,100042.3,107.345
74824,11.9211,100046.7,106.9777
75564,11.9211,100044.0,107.1997
75723,11.90582,100041.4,107.4216
75881,11.9211,100038.8,107.641
76529,11.9211,100038.8,107.641
76687,11.9211,100044.0,107.1997
76857,11.93129,100045.8,107.0517
77529,11.93129,100043.2,107.2737
77670,11.9262,100047.5,106.9038
77812,11.9262,100042.3,107.3477
78528,11.9211,100041.4,107.419
78674,11.93129,100043.2,107.2737
78820,11.93638,100038.8,107.641
79601,11.93129,100032.6,108.1588
79753,11.93638,100041.4,107.419
80545,11.94148,100047.5,106.9038
80695,11.94657,100043.2,107.2737
80849,11.94657,100043.2,107.2737
81515,11.94657,100048.4,106.8298
81674,11.94657,100043.2,107.2737
81832,11.95676,100042.3,107.3477
82520,11.94657,100043.2,107.2737
82681,11.95167,100044.0,107.1997
82836,11.95167,100036.1,107.8629
83561,11.95167,100041.4,107.4216
83722,11.97205,100044.9,107.1257
84575,11.95167,100041.4,107.4216
84739,11.95676,100044.9,107.1257
85558,11.96186,100048.4,106.8324
85728,11.97205,100047.5,106.9038
86622,11.97205,100042.3,107.3477
86786,11.97205,100047.5,106.9038
87530,11.98224,100038.8,107.641
87654,11.98733,100050.2,106.6844
87784,11.98224,100044.0,107.1997
88600,11.99243,100045.8,107.0517
88730,11.98733,100047.5,106.9038
88861,11.99243,100043.1,107.2737
89532,11.98224,100046.6,106.9804
89666,11.99243,100040.5,107.4956
89799,11.99752,100046.6,106.9804
90606,12.00262,100047.5,106.9038
90738,11.98733,100044.9,107.1257
90873,12.00771,100051.0,106.6105
91534,11.99752,100041.4,107.4216
91676,12.00262,100039.6,107.5696
91818,12.01281,100044.0,107.1997
92533,12.01281,100044.0,107.1997
92678,12.00262,100039.6,107.5696
92822,12.01281,100051.9,106.5365
93570,12.00771,100045.8,107.0517
93717,12.01281,100049.3,106.7584
93865,12.02809,100044.0,107.2023
94541,12.023,100045.8,107.0544
94687,12.0179,100042.3,107.3477
94837,12.02809,100044.0,107.2023
95519,12.023,100045.8,107.0544
95715,12.023,100045.8,107.0544
95843,12.0179,100044.9,107.1284
96534,12.02809,100049.3,106.7584
96667,12.03828,100048.4,106.8324
96800,12.04338,100049.3,106.7584
97554,12.03828,100045.8,107.0544
97690,12.03319,100044.9,107.1284
97829,12.05357,100045.8,107.0544
98527,12.03828,100045.8,107.0544
98668,12.03828,100045.8,107.0544
98808,12.05357,100043.1,107.2737
99559,12.04847,100044.9,107.1284
99703,12.05357,100048.4,106.8324
99846,12.05357,100048.4,106.8324
100539,12.04847,100044.9,107.1284
100684,12.06376,100047.5,106.9064
100831,12.06376,100047.5,106.9064
101579,12.05866,100041.4,107.4216
101728,12.05357,100045.8,107.0544
102597,12.06376,100042.2,107.3503
102759,12.07395,100046.6,106.9804
103514,12.06376,100042.2,107.3503
103667,12.06885,100043.1,107.2737
103826,12.07904,100044.9,107.1284
104530,12.06885,100040.5,107.4956
104727,12.07395,100038.8,107.6436
104863,12.07395,100044.0,107.2023
105529,12.07395,100044.0,107.2023
105668,12.08923,100036.1,107.8655
105807,12.08923,100038.7,107.6436
106535,12.09432,100044.9,107.1284
106671,12.08923,100041.4,107.4216
106812,12.09432,100050.1,106.6871
107566,12.08923,100036.1,107.8655
107708,12.09432,100042.2,107.3503
107854,12.08923,100041.4,107.4216
108539,12.10451,100044.0,107.2023
108683,12.09942,100045.8,107.0544
108831,12.10451,100044.0,107.2023
109577,12.08923,100036.1,107.8655
109724,12.09432,100042.2,107.3503
109876,12.1147,100043.1,107.2763
110517,12.10961,100047.5,106.9064
110668,12.10451,100044.0,107.2023
110825,12.12489,100047.5,106.909
111545,12.10961,100047.5,106.9064
111705,12.12489,100047.5,106.909
112552,12.1198,100046.6,106.983
112710,12.1147,100045.8,107.0544
113549,12.1198,100046.6,106.983
113692,12.13508,100044.0,107.2023
113831,12.13508,100044.0,107.2023
114530,12.12999,100048.4,106.8351
114670,12.12999,100043.1,107.2763
114811,12.13508,100044.0,107.2023
115571,12.13508,100044.0,107.2023
115721,12.14018,100047.5,106.9064
115866,12.14527,100043.1,107.2763
116546,12.13508,100044.0,107.2023
116698,12.14527,100048.4,106.8324
116847,12.15037,100044.0,107.2023
117531,12.15037,100051.9,106.5391
117685,12.14018,100044.9,107.1284
117838,12.15037,100044.0,107.2023
118517,12.15037,100049.2,106.7611
118673,12.15037,100049.2,106.7611
118835,12.16565,100049.2,106.7611
119551,12.15546,100047.5,106.909
119718,12.16565,100051.9,106.5391
120553,12.16565,100049.2,106.7611
120715,12.15546,100047.5,106.909
120881,12.16565,100044.0,107.2023
121539,12.16565,100049.2,106.7611
121702,12.16056,100040.5,107.4983
122524,12.17075,100039.6,107.5723
122666,12.17584,100045.7,107.057
122816,12.17584,100045.7,107.057
123567,12.17584,100043.1,107.2763
123719,12.17584,100045.7,107.057
123873,12.18094,100049.2,106.7611
124532,12.18603,100047.5,106.909
124685,12.18094,100041.4,107.4243
124836,12.18603,100037.0,107.7942
125577,12.17584,100045.7,107.057
125730,12.18603,100042.2,107.3529
126511,12.18603,100050.1,106.6871
126673,12.19113,100048.4,106.8351
126835,12.19622,100046.6,106.983
127556,12.18603,100042.2,107.3529
127726,12.19622,100049.2,106.7637
128597,12.19622,100049.2,106.7637
128771,12.21151,100046.6,106.9857
129547,12.20132,100044.8,107.131
129714,12.20641,100043.1,107.279
129881,12.2166,100047.5,106.909
130589,12.2217,100053.6,106.3938
130753,12.22679,100046.6,106.983
131571,12.2166,100047.5,106.909
131719,12.22679,100049.2,106.7611
132558,12.22679,100044.0,107.2023
132752,12.22679,100049.2,106.7611
132877,12.2217,100048.4,106.8351
133544,12.23189,100044.8,107.131
133674,12.24717,100050.1,106.6897
133805,12.23189,100044.8,107.131
134521,12.23189,100047.5,106.909
134713,12.24717,100050.1,106.6897
134847,12.24207,100046.6,106.9857
135557,12.24717,100042.2,107.3529
135691,12.25226,100043.1,107.279
135826,12.25736,100038.7,107.6489
136629,12.25226,100043.1,107.279
136767,12.25226,100037.8,107.7229
137550,12.25736,100046.6,106.9857
137700,12.26245,100050.1,106.6897
137837,12.26755,100045.7,107.057
138623,12.25736,100043.9,107.2076
138763,12.26755,100043.1,107.279
139558,12.27264,100044.0,107.205
139701,12.26755,100043.1,107.279
