===========================================
timestamp_ms,heading,roll,pitch,qw,qx,qy,qz,gx,gy,gz,ax,ay,az,lin_x,lin_y,lin_z,grav_x,grav_y,grav_z,mag_x,mag_y,mag_z,temp
59014,10.5,-5.125,-10.875,0.9902344,-0.090271,0.05389404,-0.09136963,1.5625,-1.75,2.8125,-0.41,-1.58,9.49,0.37,0.23,-0.05,-0.88,-1.84,9.59,11.6875,-4.0625,-52.1875,12
59054,10.375,-5.1875,-10.8125,0.9904175,-0.08972168,0.05432129,-0.09014893,0.1875,-0.0625,4.375,-1.13,-1.63,9.64,-0.23,0.19,0.05,-0.89,-1.83,9.59,11.6875,-4.0625,-52.1875,12
59098,10.1875,-5.1875,-10.8125,0.9905396,-0.08953857,0.05438232,-0.08843994,-0.125,-0.0625,3.3125,-1.28,-1.72,9.66,-0.38,0.11,0.07,-0.9,-1.83,9.59,11.6875,-4.375,-51.375,12
59189,10.1875,-5.25,-10.8125,0.9905396,-0.08953857,0.05432129,-0.08831787,-0.1875,-0.9375,-2.75,-1.11,-1.72,9.78,-0.21,0.1,0.19,-0.9,-1.83,9.59,11.6875,-4.375,-51.0625,12
59286,10.3125,-5.375,-10.875,0.9902954,-0.09020996,0.05560303,-0.08966064,-0.9375,0.6875,-0.5,-1.0,-1.66,9.7,-0.08,0.18,0.11,-0.92,-1.85,9.58,11.25,-4.375,-52.0625,12
59435,10.1875,-5.75,-11.25,0.9899902,-0.09283447,0.05895996,-0.08843994,-3.0,2.125,-0.8125,-1.4,-1.99,9.54,-0.41,-0.08,-0.02,-0.98,-1.9,9.56,11.25,-4.375,-51.375,12
60022,8.75,-4.875,-11.4375,0.9911499,-0.09613037,0.05059814,-0.07635498,-0.3125,-1.75,-4.5625,-0.9599999,-1.72,9.7,-0.12,0.21,0.13,-0.83,-1.94,9.57,11.6875,-4.0,-51.375,12
60115,9.125,-4.8125,-11.625,0.9908447,-0.09735107,0.0501709,-0.0791626,-4.3125,0.9375,-3.875,-0.91,-2.16,9.32,-0.12,-0.25,-0.29,-0.82,-1.97,9.57,11.25,-3.5625,-52.1875,12
60208,9.5625,-4.6875,-11.625,0.9904785,-0.09741211,0.04968262,-0.08331299,3.125,-0.125,-4.875,-0.85,-1.73,9.5,-0.04,0.23,-0.06,-0.8,-1.97,9.57,11.6875,-3.5625,-51.6875,12
===========================================
timestamp_ms,heading,roll,pitch,qw,qx,qy,qz,gx,gy,gz,ax,ay,az,lin_x,lin_y,lin_z,grav_x,grav_y,grav_z,mag_x,mag_y,mag_z,temp
1017,0.625,-9.3125,-0.0625,0.9967041,-0.0003051758,0.08117676,-0.005493164,-1.5625,72.75,-4.1875,-0.75,10.01,0.01,0.94,10.03,-9.64,-1.7,-0.01,9.65,-11.875,-49.75,-12.5625,9
1114,1.0,-13.375,-0.5625,0.993103,-0.004089355,0.1167603,-0.008789063,-6.8125,20.5625,-4.0,-1.58,9.52,0.33,0.69,9.62,-9.2,-2.3,-0.11,9.53,-12.875,-49.375,-14.375,9
1367,1.5625,-17.125,-0.1875,0.9887085,6.103516e-05,0.149353,-0.0135498,-1.1875,-45.125,11.625,-2.26,10.32,0.52,0.55,10.35,-8.86,-2.82,-0.03,9.39,-7.5,-30.375,-7.6875,9
2559,349.625,-4.4375,93.125,0.6846313,0.7160645,0.1213379,0.06188965,1.875,-59.625,6.0,-0.85,11.31,-0.84,-0.12,1.48,-0.35,-0.75,9.76,-0.53,-10.5625,-32.0,0.875,9
2696,354.6875,-3.3125,92.5,0.6906738,0.7185669,0.07507324,0.03192139,-1.8125,-31.5625,9.625,-0.26,10.18,-0.67,0.31,0.26,-0.05,-0.55,9.78,-0.42,-9.75,-30.875,1.0,9
2840,358.25,-3.25,91.9375,0.6946411,0.7174072,0.05206299,0.01049805,-3.5625,-13.75,-6.125,-0.51,9.43,-0.45,0.06,-0.34,-0.12,-0.57,9.78,-0.33,-9.6875,-31.25,3.25,10
3570,12.1875,-10.3125,93.3125,0.6826782,0.7250366,0.05395508,-0.07318115,-4.875,-2.25,-4.1875,-1.75,9.78,-0.79,0.01,0.15,-0.23,-1.76,9.62,-0.55,-0.5625,-34.0,9.6875,10
3714,12.3125,-10.3125,92.5625,0.6873169,0.7205811,0.05255127,-0.07446289,-4.5625,6.375,6.1875,-2.23,9.97,-0.56,-0.48,0.33,-0.13,-1.75,9.63,-0.42,-1.1875,-34.5,9.25,10
